"Latitude_deg";"Longitude_deg";"GPSQuality";"Altitude_mReMsl";"AltitudeQuality";"Time";"FileName";"TransducerName";"TransducerNumber";"ReportNumber";"FirstPingNumber";"LastPingNumber";"BottomStatus";"BottomElevation_m";"PlantStatus";"PlantHeight_m";"PercentCoverage"
"49.7814989633333";"-64.3572194666667";"Differential";"-0.14";"1";"2022-07-06 16:55:40.968000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"24";"24";"24";"Valid";"-11.2555813789368";"Valid";"0.6244254";"100"
"49.7814955798333";"-64.3572191316667";"Differential";"-0.14";"1";"2022-07-06 16:55:41.169000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"25";"25";"25";"Valid";"-11.1688556671143";"Valid";"0.5203547";"100"
"49.7814921626667";"-64.3572187933333";"Differential";"-0.14";"1";"2022-07-06 16:55:41.372000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"26";"26";"26";"Valid";"-11.2208909988403";"Valid";"0.3815932";"100"
"49.7814887791667";"-64.3572184583333";"Differential";"-0.14";"1";"2022-07-06 16:55:41.573000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"27";"27";"27";"Valid";"-11.23823595047";"Valid";"0.4683189";"100"
"49.7814853288288";"-64.3572182600934";"Differential";"-0.1414014";"1";"2022-07-06 16:55:41.776000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"28";"28";"28";"Valid";"-11.23823595047";"Valid";"0.3989382";"100"
"49.7814817252252";"-64.3572189274274";"Differential";"-0.1514114";"1";"2022-07-06 16:55:41.976000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"29";"29";"29";"Valid";"-11.2902717590332";"Valid";"0.5203547";"100"
"49.7814780675676";"-64.3572196047714";"Differential";"-0.1615716";"1";"2022-07-06 16:55:42.179000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"30";"30";"30";"Valid";"-11.23823595047";"Valid";"0.5030093";"100"
"49.7814744459459";"-64.3572202754421";"Differential";"-0.1716316";"1";"2022-07-06 16:55:42.380000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"31";"31";"31";"Valid";"-11.2729263305664";"Valid";"0.5550447";"100"
"49.7814707882883";"-64.3572209527861";"Differential";"-0.1817918";"1";"2022-07-06 16:55:42.583000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"32";"32";"32";"Valid";"-11.2902717590332";"Valid";"0.5723901";"100"
"49.7814671879787";"-64.3572217467532";"Differential";"-0.1934166";"1";"2022-07-06 16:55:42.785000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"33";"33";"33";"Valid";"-11.2208909988403";"Valid";"0.5030093";"100"
"49.7814637574092";"-64.3572230584415";"Differential";"-0.2115784";"1";"2022-07-06 16:55:42.987000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"34";"34";"34";"Valid";"-11.2208909988403";"Valid";"0.5550451";"100"
